locus_tag	primary_name	matched_features
b0786	ybhL	YbhL is a putative pmf-dependent acetate uptake transporter; [14C]acetate uptake was inhibited by CCCP as well as cold acetate, serine, alpha-ketoglutarate, lactate, and succinate; ybhL plays a role in preventing E. coli cell death in the stationary phase of growth; ybhL has been tentatively assigned the gene name aceP (M. Inouye, personal communication). The BAX Inhibitor-1 (BI-1) family (previously called the TEGT or UPF0005 family) proteins are widely conserved; BI-1 has an anti-apoptotic function and forms a Ca(2+)-permeable channel; E. coli has three BI-1 family proteins: YccA, YbhM and YbhL (Hückelhoven, 2004; Bultynck, 2011).; Putative acetate uptake transporter; BAX Inhibitor-1 family inner membrane protein; putative acetate transporter; BAX Inhibitor-1 family inner membrane protein; putative acetate transporter; BAX Inhibitor-1 family inner membrane protein
b0787	ybhM	ybhM is adjacent to and homologous to ybhL(aceP), which has been implicated in acetate transport; YbhLM may function together as an acetate transporter. The BAX Inhibitor-1 (BI-1) family (previously called the TEGT or UPF0005 family) proteins are widely conserved; BI-1 has an anti-apoptotic function and forms a Ca(2+)-permeable channel; E. coli has three BI-1 family proteins: YccA, YbhM and YbhL (Hückelhoven, 2004; Bultynck, 2011).
b0795	ybhG	"The putative ybiHybhGFSR operon encodes a predicted transcriptional regulator (YbiH) and four proteins of a predicted ABC-type transporter complex YbhGFSR, containing two ABC permease family members (YbhSR), a predicted ATP-binding cassette protein (YbhF), and a predicted membrane fusion protein (YbhG) usually associated with RND-type efflux pumps. No predicted periplasmic binding protein is associated with this predicted ABC transporter YbhGFSR, suggesting that it is an exporter, which is consistent with the presence of a membrane fusion protein (YbhG) allowing for export transit across the periplasm. YbhG (f332) was mistakenly predicted to be a periplasmic binding protein (noted as subfamily ""v""), leading to the mis-classification of YbhGFSR as a putative importer (Linton, 1998). YbhG has a predicted 20 aa signal anchor.; Putative membrane fusion protein (MFP), function unknown; probable exporter YbhGFSR; signal anchor; putative membrane fusion protein (MFP) component of efflux pump, membrane anchor; putative membrane fusion protein (MFP) component of efflux pump, membrane anchor"
b0818	ybiR	putative transporter YbiR; YbiR is a member of the IT (Ion Transporter) superfamily (Prakash, 2003). YbiR is amember of the ST(3) structural class based on hydropathy profile (Lolkema, 2003). YbiR is closely related to the arsB transporter family and is also related to the CitT and CitM families of citrate transporters. A profile specific to the YbiR family (cd01117) has been created in the CD database at the NCBI.; Putative ArsB family transporter; inner membrane protein; putative ArsB family transporter; inner membrane protein; putative transporter
b0820	ybiT	ABC transporter ATP-binding protein YbiT; YbiT is a procaryotic ABC-F family member defined by two ABC transporter-related predicted ATP-binding domains (Pfam:PF0005) joined by a linker domain (Pfam: PF12848); other ABC-F family members include eucaryotic translation-related factors and the E. coli K-12 proteins EttA, Uup, and YheS (Boël, 2014; Chen, 2014). The E. chrysanthemi YbiT ortholog plays a role in plant infective fitness. The ldtB-ybiT divergent operon promoter region binds FNR and ybiT expression is activated by FNR (Federowicz, 2014). 3/102 YbiT peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).; Uncharacterized ABC transporter ATP-binding protein YbiT
b0845	ybjJ	YbjJ is predicted to be a drug efflux transporter (Saidijam, 2006). YbjJ is a member of the Major Facilitator Superfamily (MFS) of transporters.; Putative drug efflux MFS transporter, function unknown; inner membrane protein; putative drug efflux MFS transporter, inner membrane protein; putative drug efflux MFS transporter, inner membrane protein
b0847	ybjL	putative transport protein YbjL; Putative AAE family transporter, function unknown; putative transporter; Putative transport protein YbjL; putative transporter
b0863	artI	putative ABC transporter ArtPQMI  (summary available):[ArtI][ArtM][ArtQ][ArtP]2; putative ABC transporter periplasmic binding protein ArtI; arginine transporter subunit; FUNCTION: Part of the ABC transporter complex ArtPIQMJ involved in arginine transport. {ECO:0000269|PubMed:8801422}.; Putative ABC transporter arginine-binding protein 2; arginine transporter subunit
b0898	ycaD	putative transporter YcaD; YcaD is a member of the Major Facilitator Superfamily (MFS) of transporters.; Predicted MFS transporter, function unknown; inner membrane protein; putative MFS transporter, inner membrane protein; Uncharacterized MFS-type transporter YcaD; putative MFS transporter, inner membrane protein
b0899	ycaM	putative transporter YcaM; Putative transporter, function unknown; putative transporter; Inner membrane transporter YcaM; putative transporter
b0950	pqiA	intermembrane transport protein PqiA; Inner membrane subunit of the putative PqiABC transporter; six transmembrane helices; paraquat-inducible, SoxRS-regulated; RpoS regulon; inner membrane subunit of the putative PqiABC transporter; Intermembrane transport protein PqiA (Paraquat-inducible protein A)
b0951	pqiB	intermembrane transport protein PqiB; Periplasmic MCE subunit of the putative PqiABC transporter; IM-anchored; paraquat-inducible, SoxRS-regulated; RpoS regulon; periplasmic MCE subunit of the putative PqiABC transporter, IM-anchored, paraquat-inducible; Intermembrane transport protein PqiB (Paraquat-inducible protein B)
b0952	pqiC	Periplasmic lipoprotein of the putative PqiABC transporter; OM-anchored; PqiB likely forms a periplasmic IM-OM bridge with PqiB; paraquat-inducible; SoxRS-regulated; RpoS regulon; OM-anchored periplasmic lipoprotein component of the putative PqiABC transporter, paraquat-inducible
b0960	yccS	putative transporter YccS; Putative transporter, FUSC superfamily inner membrane protein, tandem domains; putative transporter, FUSC superfamily inner membrane protein; putative transporter, FUSC superfamily inner membrane protein
b0992	yccM	Putative electron transport protein YccM
b1036	ycdZ	A bioinformatics search for coupled CRP-CytR binding sites identified YcdZ(NupT) as a predicted CytR-CRP-regulated protein; although there is no evidence that YcdZ is a transporter, it was predicted to be a nucleoside permease because it is a membrane protein and the other inner membrane proteins regulated by CytR-CRP are the NupC and NupG transporters (Sernova, 2012).
b1191	cvrA	putative cation/proton antiporter; FUNCTION: K(+)/H(+) antiporter that extrudes potassium in exchange for external protons and maintains the internal concentration of potassium under toxic levels (By similarity). Participates in control of cell volume in low-osmolarity conditions. {ECO:0000255|HAMAP-Rule:MF_01075, ECO:0000269|PubMed:11700351}.; K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2); putative cation/proton antiporter
b1202	ycgV	putative autotransporter adhesin YcgV
b1217	chaB	FUNCTION: Might be a regulator of the sodium-potassium/proton antiporter ChaA. {ECO:0000250|UniProtKB:P0AE65}.
b1294	sapA	Antimicrobial peptide ABC transporter periplasmic binding protein; antimicrobial peptide transport ABC transporter periplasmic binding protein; Probable ABC transporter periplasmic-binding protein SapA; antimicrobial peptide transport ABC transporter periplasmic binding protein
b1310	ycjN	putative ABC transporter periplasmic binding protein YcjN; Putative ABC transporter periplasmic binding protein; verified lipoprotein; putative ABC sugar transporter periplasmic binding protein; Putative ABC transporter periplasmic-binding protein YcjN; putative ABC sugar transporter periplasmic binding protein
b1311	ycjO	putative ABC transporter membrane subunit YcjO; Putative ABC transporter permease,; putative sugar ABC transporter permease; Inner membrane ABC transporter permease protein YcjO; putative sugar ABC transporter permease
b1312	ycjP	putative ABC transporter membrane subunit YcjP; Putative ABC transporter permease; putative sugar ABC transporter permease; Inner membrane ABC transporter permease protein YcjP; putative sugar ABC transporter permease
b1381	ydbH	YdbH has been extensively mislabeled as a dicarboxylate transport family protein due to misannotations in three database profiles, namely Pfam PF11739, CDD cl14674, and InterPro IPR021730. YdbH has no similarities to any Dct transporters and is not predicted to be an integral membrane protein, although it does have a predicted N-terminal membrane anchor. The mislabeling of E. coli YdbH predicted function has arisen because the ygene naming systems for E. coli and B. subtilus, widely propagated to other Gram (-) and Gram (+) genomes, respectively, were developed independently and have many ygenes of the same name but share no homologous or functional relationships; the original ygene name for B. subtilus dctA was ydbH.
b1433	ydcO	putative transport protein YdcO; YdcO belongs to the benzoate membrane transport protein family of predicted transporters and its substrate may be benzoate or similar molecules (Pfam PF03594). YdcO has been demonstrated to be an inner membrane protein with its C-terminus in the cytoplasm (Daley, 2005).; BenE family inner membrane predicted transporter; function unknown; BenE family inner membrane putative transporter; BenE family inner membrane putative transporter
b1441	ydcT	putative ABC transporter ATP-binding protein YdcT; Putative ABC transporter ATPase; putative ABC transporter ATPase; FUNCTION: Probably part of the ABC transporter complex YdcSTUV. Probably responsible for energy coupling to the transport system. {ECO:0000305}.; Uncharacterized ABC transporter ATP-binding protein YdcT; putative ABC transporter ATPase
b1442	ydcU	putative ABC transporter membrane subunit YdcU; Putative spermidine/putrescine transporter subunit; putative ABC transporter permease; FUNCTION: Probably part of the ABC transporter complex YdcSTUV. Probably responsible for the translocation of the substrate across the membrane. {ECO:0000305}.; Inner membrane ABC transporter permease protein YdcU; putative ABC transporter permease
b1443	ydcV	putative ABC transporter membrane subunit YdcV; Putative ABC transporter permease; putative ABC transporter permease; FUNCTION: Involved in natural transformation (PubMed:26826386). Probably part of the ABC transporter complex YdcSTUV. Probably responsible for the translocation of the substrate across the membrane. During natural transformation, may serve as the channel for dsDNA uptake (Probable). {ECO:0000269|PubMed:26826386, ECO:0000305|PubMed:26826386}.; Inner membrane ABC transporter permease protein YdcV; putative ABC transporter permease
b1447	ydcZ	An evolutionary analysis of the DUF606 family includes YdcZ (Lolkema, 2008). YdcZ has been classified as a member of the DMT superfamily of transporters at TCDB. YdcZ has been reported to be required for swarming (Inoue, 2007).
b1451	yncD	putative iron outer membrane transporter; putative iron outer membrane transporter
b1453	ansP	L-asparagine transporter; transporter; L-asparagine permease; L-asparagine transporter; L-asparagine permease (L-asparagine transport protein); L-asparagine transporter
b1483	ddpF	putative D,D-dipeptide ABC transporter  (summary available):[DdpB][DdpC][DdpA][DdpD][DdpF]; putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF; D,D-dipeptide ABC transporter ATPase; D,D-dipeptide ABC transporter ATPase; FUNCTION: Part of the ABC transporter complex DdpABCDF, which is probably involved in D,D-dipeptide transport (PubMed:9097039). Probably responsible for energy coupling to the transport system. {ECO:0000305|PubMed:9097039}.; D,D-dipeptide ABC transporter ATPase
b1484	ddpD	putative D,D-dipeptide ABC transporter  (summary available):[DdpB][DdpC][DdpA][DdpD][DdpF]; putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD; D,D-dipeptide ABC transporter ATPase; D,D-dipeptide ABC transporter ATPase; FUNCTION: Part of the ABC transporter complex DdpABCDF, which is probably involved in D,D-dipeptide transport (PubMed:9097039). Probably responsible for energy coupling to the transport system. {ECO:0000305|PubMed:9097039}.; D,D-dipeptide ABC transporter ATPase
b1485	ddpC	putative D,D-dipeptide ABC transporter  (summary available):[DdpB][DdpC][DdpA][DdpD][DdpF]; putative D,D-dipeptide ABC transporter membrane subunit DdpC; D,D-dipeptide ABC transporter permease; D,D-dipeptide ABC transporter permease; FUNCTION: Part of the ABC transporter complex DdpABCDF, which is probably involved in D,D-dipeptide transport. Probably responsible for the translocation of the substrate across the membrane.; Probable D,D-dipeptide transport system permease protein DdpC; D,D-dipeptide ABC transporter permease
b1486	ddpB	putative D,D-dipeptide ABC transporter  (summary available):[DdpB][DdpC][DdpA][DdpD][DdpF]; putative D,D-dipeptide ABC transporter membrane subunit DdpB; D,D-dipeptide ABC transporter permease; D,D-dipeptide ABC transporter permease; FUNCTION: Part of the ABC transporter complex DdpABCDF, which is probably involved in D,D-dipeptide transport. Probably responsible for the translocation of the substrate across the membrane.; Probable D,D-dipeptide transport system permease protein DdpB; D,D-dipeptide ABC transporter permease
b1487	ddpA	putative D,D-dipeptide ABC transporter  (summary available):[DdpB][DdpC][DdpA][DdpD][DdpF]; putative D,D-dipeptide ABC transporter periplasmic binding protein; D,D-dipeptide ABC transporter periplasmic binding protein; D,D-dipeptide ABC transporter periplasmic binding protein; FUNCTION: Part of the ABC transporter complex DdpABCDF, which is probably involved in D,D-dipeptide transport.; D,D-dipeptide ABC transporter periplasmic binding protein
b1496	yddA	ABC transporter family protein YddA; Putative ABC transporter permease/ATPase; putative multidrug ABC transporter permease/ATPase; Inner membrane ABC transporter ATP-binding protein YddA (CDS102); putative multidrug ABC transporter permease/ATPase
b1534	ydeE	dipeptide exporter; Putative arabinose efflux transporter; putative transporter; FUNCTION: A transporter able to export peptides. When overexpressed, allows cells deleted for multiple peptidases (pepA, pepB, pepD and pepN) to grow in the presence of dipeptides Ala-Gln or Gly-Tyr which otherwise inhibit growth (PubMed:20067529). Cells overexpressing this protein have decreased intracellular levels of Ala-Gln dipeptide, and in a system that produces the Ala-Gln dipeptide overproduction of this protein increases export of the dipeptide (PubMed:20067529). {ECO:0000269|PubMed:20067529}.; Uncharacterized MFS-type transporter YdeE; putative transporter
b1592	clcB	transporter; ClcA and ClcB encode redundant chloride transporters; single mutants have no phenotype. ClcA, ClcB and YfeO belong to the Pfam PF00654 Voltage_CLC family of ion channels and ion exchange transporters.; H(+)/Cl(-) exchange transporter; involved in the extreme acid response; H(+)/Cl(-) exchange transporter; H(+)/Cl(-) exchange transporter
b1596	ynfM	putative transporter YnfM; YnfM may be an arabinose efflux transporter because a ynfM mutant has increased intracellular arabinose, but not xylose; other compounds were not tested (Koita, 2012). A ynfLM clone conferred hypersensitivity to acriflavin, but a ynfM-alone expression clone did not, leading the authors to conclude that overexpression of the putative regulator YnfL was responsible for the Acr-S phenoptype. Major Facilitator Superfamily (MFS). No overexpression drug resistance phenotypes were observed.; Putative arabinose efflux transporter; putative arabinose efflux transporter; Inner membrane transport protein YnfM; putative arabinose efflux transporter
b1605	ydgI	putative arginine:ornithine antiporter; Putative arginine/ornithine antiporter; putative arginine/ornithine antiporter transporter; Putative arginine/ornithine antiporter; putative arginine/ornithine antiporter transporter
b1615	uidC	FUNCTION: Enhances the activity of the UidB (GusB) glucuronide transporter, on its own however it has no transport activity. Glucuronide transport does not occur in strain K12 due to a variant at position 100 of the UidB (GusB, AC P0CE44, AC P0CE45) protein. {ECO:0000269|PubMed:15774881}.
b1643	ydhI	YtcA, AaeX and YdhI are DUF1656 family (Pfam PF07869) predicted inner membrane proteins; all these E. coli DUF1656 family proteins are encoded in the first genes of known or predicted efflux pump operons, preceding the membrane fusion protein genes. The slyA-ydhIJK divergent promoter region binds FNR and ydhIJK operon expression is activated by FNR (Federowicz, 2014).; Predicted inner membrane DUF1656 family protein; efflux pump associated; function unknown; DUF1656 family putative inner membrane efflux pump associated protein; DUF1656 family putative inner membrane efflux pump associated protein
b1644	ydhJ	Predicted membrane fusion protein (MFP) of YdhJK efflux pump; function unknown; putative membrane fusion protein (MFP) of YdhJK efflux pump; putative membrane fusion protein (MFP) of YdhJK efflux pump
b1645	ydhK	putative transporter YdhK; Efflux protein family (PET) component of predicted YdhJK efflux pump, function unknown; putative efflux protein (PET) component of YdhJK efflux pump; Uncharacterized transporter YdhK; putative efflux protein (PET) component of YdhJK efflux pump
b1657	ydhP	putative transporter YdhP; YdhP is a member of the Major Facilitator Superfamily (MFS) of transporters.; Putative MFS transporter, function unknown; inner membrane protein; putative MFS transporter, inner membrane protein; Inner membrane transport protein YdhP; putative MFS transporter, inner membrane protein
b1660	ydhC	putative transporter YdhC; Putative arabinose efflux transporter; putative arabinose efflux transporter; Inner membrane transport protein YdhC; putative arabinose efflux transporter
b1664	ydhQ	adhesin-like autotransporter YdhQ; Although related to autotransporter adhesins like AidA, YdhQ is probably not an autotransporter but it may be an adhesin; YdhQ does not have a signal peptide.; Autotransporter adhesin-related protein, function unknown; autotransporter adhesin-related protein; autotransporter adhesin-related protein
b1688	ydiK	putative transporter YdiK; Putative transport protein YdiK
b1690	ydiM	putative exporter YdiM; YdiM is a member of the Major Facilitator Superfamily (MFS) of transporters. When testing candidate drug efflux no overexpression resistances were found for YdiM (Nishino, 2001).; Putative MFS transporter, function unknown; inner membrane protein; putative MFS transporter, membrane protein; Inner membrane transport protein YdiM; putative MFS transporter, membrane protein
b1691	ydiN	putative transporter YdiN; YdiN is a member of the Major Facilitator Superfamily (MFS) of transporters. YdiN is upregulated in shikimate-producer during carbon starvation (Johansson, 2006). ydiN is in an operon with shikimate genes ydiB and aroD. YdiN may be involved in the transport of shikimate or byproducts (quinic acid and 3-dehydroshikimic acid) of its overproduction: a second transport system for shikimate has not yet been mapped (Brown, 1976; Knop, 2001).; Putative MFS transporter, function unknown; inner membrane protein; upregulated in shikimate-producer during carbon starvation; putative MFS transporter, membrane protein; Inner membrane transport protein YdiN; putative MFS transporter, membrane protein
b1754	ynjB	putative ABC transporter periplasmic binding protein YnjB; YnjB is the predicted periplasmic solute-binding protein (PF13416) of the predicted YnjCD ABC transporter in the ydjXYZ-ynjABCD operon; substrate unknown. The first 20 aa of YnjB are predicted to be a type I signal peptide. The ydjXYZ-ynjABCD operon promoter region binds FNR and ydjXYZ-ynjABCD operon expression is activated by FNR (Federowicz, 2014).; Putative ABC transporter periplasmic binding protein; putative ABC transporter periplasmic binding protein; putative ABC transporter periplasmic binding protein
b1755	ynjC	putative ABC transporter membrane subunit YnjC; Putative ABC transporter permease; putative ABC transporter permease; Inner membrane ABC transporter permease protein YnjC; putative ABC transporter permease
b1756	ynjD	putative ABC transporter ATP-binding protein YnjD; Putative ABC transporter ATPase; putative ABC transporter ATPase; Uncharacterized ABC transporter ATP-binding protein YnjD; putative ABC transporter ATPase
b1769	ydjE	putative transporter YdjE; YdjE is a member of the Sugar Porter (SP) family within the Major Facilitator Superfamily (MFS) of transporters.; Predicted MFS transporter, function unknown; inner membrane protein; putative MFS sugar transporter, membrane protein; Inner membrane metabolite transport protein YdjE; putative MFS sugar transporter, membrane protein
b1775	ydjK	putative transporter YdjK; YdjK is a member of the Sugar Porter (SP) family within the Major Facilitator Superfamily (MFS) of transporters.; Putative MFS transporter, function unknown; membrane protein; putative MFS sugar transporter, membrane protein; Putative metabolite transport protein YdjK; putative MFS sugar transporter, membrane protein
b1801	yeaV	putative transporter YeaV; Betaine/Carnitine/Choline Transporter (BCCT) family. YeaV may import an exogenous substrate for YeaWX.; Putative transporter, function unknown; putative transporter; FUNCTION: Probable transporter whose substrate is unknown. Is not involved in aerobic D-malate transport.; Uncharacterized transporter YeaV; putative transporter
b1828	yebQ	putative transporter YebQ; Predicted transporter, function unknown; no overexpression resistances found; putative transporter; Uncharacterized transporter YebQ; putative transporter
b1833	yebS	intermembrane transport protein YebS; Inner membrane subunit of the putative YebST transporter; six transmembrane helices;  PqiA domain protein; heat stress resistance protein; inner membrane subunit of the putative YebST transporter; PqiA domain protein; Intermembrane transport protein YebS
b1834		transporter with unknown substrate; intermembrane transport protein YebT; Periplasmic MCE subunit of the putative YebST transporter; IM-anchored; periplasmic MCE subunit of the putative YebST transporter, IM-anchored; Intermembrane transport protein YebT
b1929	yedE	putative selenium transporter YedE
b1959	yedA	putative transporter YedA; YedA overproduction enhances phenyalanine and threonine export (Livshits et al., US Patent No. 10302983, filed on 11/25/2002). YedA belongs to the EamA/RhaT transporter family, DMT superfamily.; Amino acid exporter for phenylalanine, threonine; amino acid exporter for phenylalanine, threonine; Uncharacterized inner membrane transporter YedA; amino acid exporter for phenylalanine, threonine
b1978	yeeJ	inverse autotransporter adhesin
b2008	yeeA	putative transporter YeeA; Putative transporter, FUSC family inner membrane protein; putative transporter, FUSC family inner membrane protein; putative transporter, FUSC family inner membrane protein
b2046	wzxC	transporter; putative colanic acid exporter; putative colanic acid exporter
b2077	iceT	"Salmonella IceT(MdtD) has been characterized as a citrate and iron-citrate efflux transporter (Frawley, 2013). iceT(mdtD) mutants grow slower in the presence of zinc at high cell density and have a dramatically increased intracellular free zinc concentration after zinc shock, indicating that IceT may export zinc-citrate; the authors note that ""it is likely that zinc is co-transported in a complex with other ligands that are substrates of MdtD"" (Wang, 2013). Plasmid-mediated mdtABC-iceT(mdtD) overexpression confers resistance to deoxycholate and novobiocin in an acrAB mutant background but the same resistances are observed with mdtABC overexpression, indicating that iceT(mdtD) does not confer multidrug resistance (Nishino, 2001; Nagakubo, 2002). Chromosomal mdtABC-iceT(mdtD) expression induced by plasmid-mediated BaeR overproduction increases resistance to deoxycholate and novobiocin in an acrAB mutant; mutations in mdtB and mdtC but not iceT(mdtD) abolish this BaeR-induced resistance phenotype (Baranova, 2002). Consistent with arabinose export, an iceT(mdtD) mutant has increased intracellular arabinose, but not xylose; other compounds were not tested (Koita, 2012).; Putative citrate/iron-citrate/zinc-citrate efflux transporter; putative arabinose exporter; putative citrate/iron-citrate/zinc-citrate efflux transporter; putative citrate/iron-citrate/zinc-citrate efflux transporter; putative multidrug efflux pump MdtD"
b2098	yegT	putative transporter YegT; The function of YegT as a low affinity purine nucleoside transporter is noted as unpublished results of B. Mygind and G. Dandanell of the online review Module 3.6.2 (Nucleotides, Nucleosides, and Nucleobases by K.F. Jensen et al., 2008) at www.ecosal.org. NupG, XapB and YegT are paralogs. Major Facilitator Superfamily (MFS). yegTUV operon.; Nucleoside transporter, low affinity; nucleoside transporter, low affinity; Putative nucleoside transporter YegT; nucleoside transporter, low affinity
b2113	mrp	antiporter inner membrane protein; antiporter inner membrane protein
b2142	yohK	Inner membrane protein, LrgB family, function unknown; S. aureus ortholog missing a murein hydrolase, possibly due to protein transport defect; six TM segment predicted inner membrane protein homologus to known transporters
