SetName	Date_pool_expt_started	Drop	Person	Mutant.Library	Description	gDNA.plate	gDNA.well	Index	Sequenced.At	Media	Growth.Method	Group	Temperature	pH	Liquid.v..solid	Aerobic_v_Anaerobic	Shaking	Condition_1	Concentration_1	Units_1	Condition_2	Concentration_2	Units_2	Timecourse	Timecourse.Sample	Growth.Plate.ID	Growth.Plate.wells	StartOD	EndOD	Total.Generations	num	name	short
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Xylose carbon source	FEBA_gDNA_plate31	A12	IT012	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Xylose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.94	5.554588852	12	set1IT012	D-Xylose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galactose carbon source	FEBA_gDNA_plate31	B1	IT013	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galactose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.7	5.129283017	13	set1IT013	D-Galactose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galactose carbon source	FEBA_gDNA_plate31	B2	IT014	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galactose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.74	5.209453366	14	set1IT014	D-Galactose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Ribose carbon source	FEBA_gDNA_plate31	B3	IT015	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Ribose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1	5.64385619	15	set1IT015	D-Ribose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Ribose carbon source	FEBA_gDNA_plate31	B4	IT016	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Ribose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.2	5.906890596	16	set1IT016	D-Ribose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Fucose carbon source	FEBA_gDNA_plate31	B5	IT017	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	L-Fucose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.59	4.882643049	17	set1IT017	L-Fucose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Fucose carbon source	FEBA_gDNA_plate31	B6	IT018	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	L-Fucose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.61	4.930737338	18	set1IT018	L-Fucose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	a-Ketoglutaric acid disodium salt hydrate carbon source	FEBA_gDNA_plate31	B7	IT019	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	a-Ketoglutaric acid disodium salt hydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.12	5.807354922	19	set1IT019	a-Ketoglutaric (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	a-Ketoglutaric acid disodium salt hydrate carbon source	FEBA_gDNA_plate31	B8	IT020	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	a-Ketoglutaric acid disodium salt hydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.1	5.781359714	20	set1IT020	a-Ketoglutaric (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucuronic Acid carbon source	FEBA_gDNA_plate31	B9	IT021	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucuronic Acid	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.78	6.475733431	21	set1IT021	D-Glucuronic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucuronic Acid carbon source	FEBA_gDNA_plate31	B10	IT022	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucuronic Acid	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.8	6.491853096	22	set1IT022	D-Glucuronic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Gluconic Acid sodium salt carbon source	FEBA_gDNA_plate31	B11	IT023	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Gluconic Acid sodium salt	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.77	6.46760555	23	set1IT023	D-Gluconic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Gluconic Acid sodium salt carbon source	FEBA_gDNA_plate31	B12	IT024	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Gluconic Acid sodium salt	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.76	6.459431619	24	set1IT024	D-Gluconic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose-6-Phosphate sodium salt carbon source	FEBA_gDNA_plate31	C1	IT025	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose-6-Phosphate sodium salt	20	mM	NA	NA	NA	NA	NA	NA		0.02	2.99	7.224001674	25	set1IT025	D-Glucose-6-Phosphate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose-6-Phosphate sodium salt carbon source	FEBA_gDNA_plate31	C2	IT026	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose-6-Phosphate sodium salt	20	mM	NA	NA	NA	NA	NA	NA		0.02	3	7.22881869	26	set1IT026	D-Glucose-6-Phosphate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Potassium acetate carbon source	FEBA_gDNA_plate31	C3	IT027	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Potassium acetate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.55	4.781359714	27	set1IT027	acetate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Potassium acetate carbon source	FEBA_gDNA_plate31	C4	IT028	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Potassium acetate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.55	4.781359714	28	set1IT028	acetate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium Fumarate dibasic carbon source	FEBA_gDNA_plate31	C5	IT029	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium Fumarate dibasic	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.57	4.832890014	29	set1IT029	Fumarate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium Fumarate dibasic carbon source	FEBA_gDNA_plate31	C6	IT030	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium Fumarate dibasic	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.57	4.832890014	30	set1IT030	Fumarate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium D-Lactate carbon source	FEBA_gDNA_plate31	C7	IT031	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium D-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.88	5.459431619	31	set1IT031	D-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium D-Lactate carbon source	FEBA_gDNA_plate31	C8	IT032	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium D-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.91	5.50779464	32	set1IT032	D-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium L-Lactate carbon source	FEBA_gDNA_plate31	C9	IT033	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium L-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.8	5.321928095	33	set1IT033	L-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium L-Lactate carbon source	FEBA_gDNA_plate31	C10	IT034	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium L-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.78	5.285402219	34	set1IT034	L-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium D,L-Lactate carbon source	FEBA_gDNA_plate31	C11	IT035	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium D,L-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.68	5.09592442	35	set1IT035	D,L-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium D,L-Lactate carbon source	FEBA_gDNA_plate31	C12	IT036	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium D,L-Lactate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.7	5.121015401	36	set1IT036	D,L-Lactate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium pyruvate carbon source	FEBA_gDNA_plate31	D1	IT037	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium pyruvate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.54	4.754887502	37	set1IT037	pyruvate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium pyruvate carbon source	FEBA_gDNA_plate31	D2	IT038	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium pyruvate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.54	4.754887502	38	set1IT038	pyruvate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium succinate dibasic hexahydrate carbon source	FEBA_gDNA_plate31	D3	IT039	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium succinate dibasic hexahydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.81	5.339850003	39	set1IT039	succinate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sodium succinate dibasic hexahydrate carbon source	FEBA_gDNA_plate31	D4	IT040	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sodium succinate dibasic hexahydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.93	5.539158811	40	set1IT040	succinate (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Glycolic Acid carbon source	FEBA_gDNA_plate31	D5	IT041	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Glycolic Acid	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.38	4.263034406	41	set1IT041	Glycolic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Glycolic Acid carbon source	FEBA_gDNA_plate31	D6	IT042	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Glycolic Acid	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.4	4.307428525	42	set1IT042	Glycolic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Mannitol carbon source	FEBA_gDNA_plate31	D7	IT043	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Mannitol	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.64	6.357552005	43	set1IT043	D-Mannitol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Mannitol carbon source	FEBA_gDNA_plate31	D8	IT044	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Mannitol	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.58	6.303780748	44	set1IT044	D-Mannitol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galacturonic Acid monohydrate carbon source	FEBA_gDNA_plate31	D9	IT045	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galacturonic Acid monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.66	6.371558863	45	set1IT045	D-Galacturonic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galacturonic Acid monohydrate carbon source	FEBA_gDNA_plate31	D10	IT046	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galacturonic Acid monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.65	6.368069877	46	set1IT046	D-Galacturonic Acid (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Glycerol carbon source	FEBA_gDNA_plate31	D11	IT047	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Glycerol	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.92	5.529820947	47	set1IT047	Glycerol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Glycerol carbon source	FEBA_gDNA_plate31	D12	IT048	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Glycerol	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.91	5.510961919	48	set1IT048	Glycerol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Time0	FEBA_gDNA_plate31	E1	IT049	NA	LB	flask	Time0	37	NA	Liquid	Aerobic	200 rpm		NA		NA	NA	NA	NA	NA	NA		0.02	2.23	6.8008999	49	set1IT049	Time0
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Time0	FEBA_gDNA_plate31	E2	IT050	NA	LB	flask	Time0	37	NA	Liquid	Aerobic	200 rpm		NA		NA	NA	NA	NA	NA	NA		0.02	2.23	6.8008999	50	set1IT050	Time0
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Sorbitol carbon source	FEBA_gDNA_plate31	E3	IT051	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Sorbitol	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.19	5.892391026	51	set1IT051	D-Sorbitol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Sorbitol carbon source	FEBA_gDNA_plate31	E4	IT052	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Sorbitol	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.14	5.837943242	52	set1IT052	D-Sorbitol (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Malic acid disodium salt monohydrate carbon source	FEBA_gDNA_plate31	E5	IT053	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	L-Malic acid disodium salt monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.56	4.817623258	53	set1IT053	L-Malic (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Malic acid disodium salt monohydrate carbon source	FEBA_gDNA_plate31	E6	IT054	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	L-Malic acid disodium salt monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.6	4.906890596	54	set1IT054	L-Malic (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Trehalose dihydrate carbon source	FEBA_gDNA_plate31	E7	IT055	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Trehalose dihydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.03	5.683696454	55	set1IT055	D-Trehalose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Trehalose dihydrate carbon source	FEBA_gDNA_plate31	E8	IT056	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Trehalose dihydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.01	5.655351829	56	set1IT056	D-Trehalose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Serine carbon source	FEBA_gDNA_plate31	E9	IT057	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Serine	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.03	5.683696454	57	set1IT057	D-Serine (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Serine carbon source	FEBA_gDNA_plate31	E10	IT058	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Serine	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.1	5.781359714	58	set1IT058	D-Serine (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	casamino acids carbon source	FEBA_gDNA_plate31	E11	IT059	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	casamino acids	2	mg/mL	NA	NA	NA	NA	NA	NA		0.02	0.76	5.255500733	59	set1IT059	casaminos (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	casamino acids carbon source	FEBA_gDNA_plate31	E12	IT060	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	casamino acids	2	mg/mL	NA	NA	NA	NA	NA	NA		0.02	0.77	5.263034406	60	set1IT060	casaminos (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	N-Acetyl-D-Glucosamine carbon source	FEBA_gDNA_plate31	F1	IT061	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	N-Acetyl-D-Glucosamine	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.18	5.87774425	61	set1IT061	NAG (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	N-Acetyl-D-Glucosamine carbon source	FEBA_gDNA_plate31	F2	IT062	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	N-Acetyl-D-Glucosamine	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.2	5.902073579	62	set1IT062	NAG (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucosamine Hydrochloride carbon source	FEBA_gDNA_plate31	F3	IT063	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucosamine Hydrochloride	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.34	6.061776198	63	set1IT063	D-Glucosamine Hydrochloride (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucosamine Hydrochloride carbon source	FEBA_gDNA_plate31	F4	IT064	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucosamine Hydrochloride	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.34	6.06608919	64	set1IT064	D-Glucosamine Hydrochloride (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Mannose carbon source	FEBA_gDNA_plate31	F5	IT065	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Mannose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.85	5.412781525	65	set1IT065	D-Mannose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Mannose carbon source	FEBA_gDNA_plate31	F6	IT066	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Mannose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.88	5.452858965	66	set1IT066	D-Mannose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galacturonic Acid monohydrate carbon source MOPS	FEBA_gDNA_plate31	F7	IT067	NA	MOPS Rich Defined media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galacturonic Acid monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.13	5.820178962	67	set1IT067	D-Galacturonic Acid (C) MOPS
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Galacturonic Acid monohydrate carbon source MOPS	FEBA_gDNA_plate31	F8	IT068	NA	MOPS Rich Defined media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Galacturonic Acid monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.4	6.129283017	68	set1IT068	D-Galacturonic Acid (C) MOPS
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose carbon source MOPS	FEBA_gDNA_plate31	F9	IT069	NA	MOPS Rich Defined media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose	22	mM	NA	NA	NA	NA	NA	NA		0.02	0.734	5.197708158	69	set1IT069	D-Glucose (C) MOPS
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose carbon source MOPS	FEBA_gDNA_plate31	F10	IT070	NA	MOPS Rich Defined media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose	22	mM	NA	NA	NA	NA	NA	NA		0.02	0.83	5.375039431	70	set1IT070	D-Glucose (C) MOPS
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Arginine nitrogen source	FEBA_gDNA_plate31	F11	IT071	NA	M9 minimal media_noNitrogen	tube	nitrogen source	37	NA	Liquid	Aerobic	200 rpm	L-Arginine	10	mM	NA	NA	NA	NA	NA	NA		0.02	0.67	5.06608919	71	set1IT071	L-Arginine (N)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Arginine nitrogen source	FEBA_gDNA_plate31	F12	IT072	NA	M9 minimal media_noNitrogen	tube	nitrogen source	37	NA	Liquid	Aerobic	200 rpm	L-Arginine	10	mM	NA	NA	NA	NA	NA	NA		0.02	0.65	5.022367813	72	set1IT072	L-Arginine (N)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Aspartic Acid nitrogen source	FEBA_gDNA_plate31	G1	IT073	NA	M9 minimal media_noNitrogen	tube	nitrogen source	37	NA	Liquid	Aerobic	200 rpm	L-Aspartic Acid	6	mM	NA	NA	NA	NA	NA	NA		0.02	0.99	5.626439137	73	set1IT073	L-Aspartic Acid (N)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	L-Aspartic Acid nitrogen source	FEBA_gDNA_plate31	G2	IT074	NA	M9 minimal media_noNitrogen	tube	nitrogen source	37	NA	Liquid	Aerobic	200 rpm	L-Aspartic Acid	6	mM	NA	NA	NA	NA	NA	NA		0.02	1.01	5.658211483	74	set1IT074	L-Aspartic Acid (N)
